hh_id,exp_LCU_Electricity,exp_LCU_Petrol,exp_LCU_Firewood,exp_LCU_Gas,exp_LCU_Biomass,exp_LCU_Diesel,exp_LCU_Coal,hh_expenditures_LCU
1,1078.86347995113,NA,NA,NA,NA,NA,NA,39067.893098115106
2,10788.6347995113,8125.64425522832,NA,NA,NA,NA,NA,98047.82562660036
3,8630.90783960901,7109.93872332478,NA,NA,NA,NA,NA,98515.827856068
4,10788.6347995113,12188.4663828425,447.78919579453,NA,NA,NA,NA,208087.58401877445
5,2999.56276618027,NA,NA,1567.60602149646,NA,NA,NA,49664.480191707094
6,2399.65021294422,295.708971683408,NA,NA,NA,NA,NA,54008.48428991043
7,3599.47531941632,NA,NA,NA,NA,NA,NA,64111.18249006266
8,2399.65021294422,6899.876005946175,NA,NA,NA,NA,NA,269287.497614468
9,6693.05832899527,591.417943366815,NA,NA,NA,NA,NA,133251.91859581321
10,6693.05832899527,11951.570938871053,NA,NA,NA,NA,NA,222059.61172944997
11,4799.30042588843,NA,NA,NA,NA,NA,NA,102263.0030570208
12,2999.56276618027,NA,NA,NA,NA,NA,NA,46109.856843444744
13,1199.82510647211,NA,NA,NA,NA,NA,NA,32543.264590586485
14,8398.77574530475,11887.50066167298,NA,NA,NA,NA,NA,187696.6052186525
15,1199.43047433427,NA,NA,NA,NA,NA,NA,38179.827332177396
16,10393.6102557766,NA,NA,NA,NA,NA,NA,49071.118226492275
17,22019.2945766377,NA,NA,NA,NA,NA,NA,55383.60267745205
18,2398.86094866853,NA,NA,NA,NA,NA,NA,56269.8133674548
19,8635.89941520672,10940.5812488647,NA,NA,NA,NA,NA,133500.76117824382
20,22019.2945766377,NA,NA,NA,NA,NA,NA,49570.81029777086
21,2993.92159749268,NA,NA,NA,NA,NA,NA,93286.1725214881
22,2395.13727799415,NA,400.962117619148,NA,NA,NA,NA,89226.03266193083
23,1197.56863899707,NA,NA,NA,NA,NA,NA,16959.40007033204
24,2993.92159749268,NA,801.924235238295,NA,NA,NA,NA,108219.4537214449
25,2395.13727799415,NA,NA,NA,NA,NA,NA,41328.11537591698
26,6778.23849672343,NA,NA,NA,NA,NA,NA,78402.7302651338
27,NA,2106.0210301735,NA,NA,NA,NA,NA,106993.64913783688
28,3361.45528595144,NA,NA,NA,NA,NA,NA,112980.86791139921
29,2401.03948996531,NA,NA,NA,NA,NA,NA,49570.009603826715
30,2401.03948996531,NA,NA,NA,NA,NA,NA,91480.22022163402
31,3238.43798288923,1953.414794125264,NA,NA,NA,NA,NA,26354.589323154007
32,3238.43798288923,6168.67829723766,NA,NA,NA,NA,NA,38297.324130486035
33,2158.95865525949,7402.41395668519,NA,NA,NA,NA,NA,42078.31171676087
34,2698.69831907436,NA,NA,NA,NA,NA,NA,28385.234392702
35,2399.84080282854,8608.38743598084,NA,NA,NA,NA,NA,87316.43915512763
36,3599.76120424281,NA,NA,NA,NA,NA,NA,109157.86304289078
37,10397.8556966189,NA,NA,NA,NA,NA,NA,63982.061249901875
38,1199.92040141427,NA,NA,NA,NA,NA,NA,24511.671761748745
39,6676.9347180506,2878.303610229,NA,NA,NA,NA,NA,58158.79320158811
40,1196.9347217978,NA,NA,NA,NA,NA,NA,54860.719432255304
41,NA,7195.7590255725,NA,NA,NA,NA,NA,85793.90584230657
42,1880.9347217978,NA,NA,NA,NA,NA,NA,40162.42743502042
43,4189.27152629229,11513.214440916,NA,NA,NA,NA,NA,71612.30754105256
44,1196.9347217978,NA,NA,NA,NA,NA,NA,27096.852822307075
45,3351.41722103383,NA,NA,NA,NA,NA,NA,60778.947316519734
46,1196.9347217978,NA,NA,NA,NA,NA,NA,48381.829304361796
47,3600,NA,NA,NA,NA,NA,NA,37185.38160148976
48,3600,NA,NA,NA,NA,NA,NA,28794.178449034982
49,1200,NA,NA,NA,NA,NA,NA,21613.4576119403
51,1200,NA,NA,NA,NA,NA,NA,57927.14
52,6000,NA,NA,NA,NA,NA,NA,58941.54
53,1200,NA,NA,NA,NA,NA,NA,33616
54,1200,NA,NA,NA,NA,NA,NA,12061.22160148976
55,3600,NA,NA,NA,NA,NA,NA,23968.506567251414
56,1200,NA,NA,NA,NA,NA,NA,14445.4976119403
57,1200,NA,NA,NA,NA,NA,NA,19269.6176119403
58,4800,5010,NA,NA,NA,NA,NA,85010.4
59,1200,NA,NA,858,NA,NA,NA,31631.36160148976
60,2400,NA,NA,NA,NA,NA,NA,41497.28160148976
61,3600,28116,NA,NA,NA,NA,NA,247171.2108222869
62,3776.71865728575,3257.57941239715,NA,NA,NA,NA,NA,156939.5126811753
63,10790.6247351021,21988.6610336808,NA,NA,NA,NA,NA,278970.28757708
64,6949.16232940578,8551.14595754253,NA,NA,608.218839351207,NA,NA,144811.12700123005
65,1079.06247351022,NA,NA,NA,NA,NA,NA,23143.195376622116
66,5395.31236755107,3664.7768389468,NA,NA,NA,NA,NA,72596.26628281565
67,10790.6247351021,14659.1073557872,NA,NA,NA,NA,NA,213415.91347547495
68,1079.06247351022,NA,NA,NA,NA,NA,NA,37385.57917667475
69,5395.31236755107,30539.8069912233,NA,NA,NA,NA,NA,290874.38107358187
70,8398.77574530475,14785.4485841704,NA,NA,NA,NA,NA,172082.16885317006
