hh_id,hh_size,hh_weights,province,urban_1,electricitycon,electricitymains,electricitysource,electricityfree,cookingsource,lightingsource,heatingsourcewater,heatingsourcespace,income,consumption,education_hhh,own_stove,own_vehicle,gender_hhh,ethnicity_hhh
1,3,628.85106181,1,1,1,1,8,2,1,1,1,11,51570.069751,39067.893098,11,1,2,1,2
2,2,512.60999202,1,1,1,1,8,2,1,1,1,11,142425.96939,116838.45803,11,1,1,1,4
3,2,512.60999202,1,1,1,1,8,2,1,1,1,11,220969.76024,160159.79341,24,1,1,1,4
4,4,814.91711776,1,1,1,1,8,2,1,1,1,11,371429.81675,176041.74091,24,1,1,2,2
5,7,238.07493342,1,1,1,1,8,2,1,1,1,1,90280.116324,56191.757014,98,1,3,1,2
6,6,315.58349368,1,1,1,1,8,2,1,7,1,1,177615.76093,56515.569215,98,1,1,1,2
7,2,550.89234992,1,1,1,1,8,2,1,1,1,1,33037.908369,61977.792929,24,3,3,2,2
8,4,452.8887167,1,1,1,1,8,2,1,1,1,1,314516.84317,279066.63432,13,1,1,1,2
9,6,404.30843136,1,1,1,1,8,2,1,1,1,1,131074.19587,111581.78748,15,2,1,1,2
10,4,404.30843136,1,1,1,1,8,2,1,1,1,1,128573.10157,191311.10044,13,9,3,1,2
11,4,315.58349368,1,1,1,1,8,2,1,1,1,1,295375.67878,189446.90093,24,1,3,1,2
12,2,404.04387735,1,1,1,1,8,2,1,1,1,1,32373.742491,60499.88296,7,1,3,2,2
13,4,452.8887167,1,1,1,2,2,2,1,1,1,1,29967.973127,33617.729559,11,1,3,1,2
14,6,315.58349368,1,1,1,1,8,2,1,1,1,1,340177.0514,184885.44994,7,1,1,1,2
15,4,546.59812003,1,5,1,1,8,2,1,1,1,1,40504.31152,38179.827332,10,1,2,1,2
16,2,380.88240664,1,5,1,1,8,2,1,1,1,1,67880.460895,49071.118226,2,1,2,1,2
17,2,487.96585197,1,5,1,1,8,2,1,1,1,1,32701.275036,55383.602677,8,1,3,1,2
18,7,287.33617384,1,5,1,1,8,2,1,1,1,1,155822.46903,66860.354698,98,1,3,1,2
19,1,630.51511851,1,5,1,1,8,2,1,1,1,1,263543.15824,244696.61118,30,1,1,2,4
20,2,380.88240664,1,5,1,1,8,2,1,1,1,1,29186.93036,49570.810298,8,1,2,1,2
21,6,452.8887167,1,1,1,1,8,2,1,1,1,1,99658.661795000007,94377.355745,13,1,3,1,2
22,3,523.93624116,1,1,1,1,8,2,1,1,1,1,716720.96343,89226.032662,14,1,3,2,2
23,2,238.07493342,1,1,1,1,8,1,1,1,1,1,101003.68292,29689.871013,9,1,3,1,2
24,5,315.58349368,1,1,1,1,8,2,1,1,1,1,132756.77085,112819.60514,12,1,3,1,2
25,6,523.93624116,1,1,1,1,8,1,1,1,1,1,63243.082737,41328.115376,8,1,3,2,2
26,3,523.93624116,1,1,1,2,1,2,1,1,1,1,48963.701768,81003.886162,8,1,3,2,2
27,4,452.8887167,1,1,1,2,1,2,1,1,1,1,65645.869003,116750.1694,13,1,1,1,2
28,12,523.93624116,1,1,1,1,8,1,1,1,1,1,244671.25394,114728.82909,7,1,3,2,2
29,6,404.30843136,1,1,1,1,8,2,1,1,1,1,95614.443169,56770.009604,13,1,3,1,2
30,4,523.93624116,1,1,1,1,8,1,1,1,1,1,187713.04689,103013.77228,24,1,3,2,2
